epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.48395,1.82635,3.56267,1.3714,0.00357,0.33333,0.25462,0.2277,2.03552,3.5034,1.44201,0.00011432,0.00011432,0.00011432
2,2.15424,1.95201,3.07703,1.25439,0.004,0.33333,0.31457,0.27011,1.5099,3.3767,1.03189,0.00023812,0.00023812,0.00023812
3,2.83391,1.45554,1.91924,0.98732,1,0.29476,0.33198,0.28477,1.48785,3.04249,1.00194,0.000356827,0.000356827,0.000356827
4,3.47311,1.56339,1.68189,0.97495,0.9887,0.33333,0.33239,0.2879,1.60252,2.7955,1.01869,0.000470441,0.000470441,0.000470441
5,4.13837,1.48554,1.32475,0.98057,1,0.27529,0.3337,0.29031,1.50784,2.83402,1.00153,0.000578962,0.000578962,0.000578962
6,4.78039,1.35784,1.33571,0.99958,0.96872,0.33333,0.3925,0.30615,1.45222,2.53486,0.98218,0.00068239,0.00068239,0.00068239
7,5.40939,1.44939,1.41768,0.99651,0.97699,0.33333,0.69339,0.49252,1.45695,2.15935,0.96738,0.000780726,0.000780726,0.000780726
8,6.03939,1.3226,1.2692,0.94918,0.95288,0.35553,0.79741,0.5476,1.43743,1.92361,0.97353,0.000873968,0.000873968,0.000873968
9,6.65739,1.28981,1.26979,0.96836,0.93904,0.31902,0.7602,0.49639,1.49496,2.07521,0.99252,0.000962117,0.000962117,0.000962117
10,7.2709,1.31263,1.21396,0.94611,0.93198,0.39894,0.75461,0.49988,1.46568,2.09308,0.98852,0.00104517,0.00104517,0.00104517
11,7.8879,1.40281,1.15248,0.9368,0.95018,0.64467,0.79326,0.55926,1.3921,1.56957,0.98076,0.00112314,0.00112314,0.00112314
12,8.5239,1.26572,1.1131,0.93731,0.84301,0.6725,0.80446,0.55834,1.37382,1.3975,0.97821,0.00111776,0.00111776,0.00111776
13,9.14179,1.2687,1.10254,0.92049,0.72941,0.62933,0.80893,0.5511,1.36109,1.44316,0.98624,0.00108947,0.00108947,0.00108947
14,9.75479,1.26163,1.13704,0.95732,0.71886,0.6745,0.82073,0.56238,1.39968,1.47895,1.00157,0.00106118,0.00106118,0.00106118
15,10.3647,1.34448,1.05789,0.92165,0.73467,0.71951,0.83233,0.5719,1.37782,1.40184,1.00186,0.00103288,0.00103288,0.00103288
16,10.9727,1.18268,1.06431,0.97036,0.76006,0.74258,0.82452,0.54543,1.45198,1.20668,1.02922,0.00100459,0.00100459,0.00100459
17,11.5987,1.32551,1.0021,0.9245,0.88795,0.70216,0.82546,0.56259,1.41307,1.13021,0.99854,0.000976293,0.000976293,0.000976293
18,12.2017,1.24147,1.08205,0.96244,0.69468,0.79791,0.83037,0.58006,1.31809,1.05942,0.98423,0.000947999,0.000947999,0.000947999
19,12.8387,1.18206,0.94696,0.92408,0.84396,0.75024,0.84173,0.59372,1.27987,1.02455,0.9814,0.000919704,0.000919704,0.000919704
20,13.4677,1.177,0.89066,0.91403,0.84087,0.76481,0.83937,0.5966,1.27012,0.94431,0.9758,0.00089141,0.00089141,0.00089141
21,14.0847,1.13502,1.04112,0.92964,0.84908,0.79782,0.83921,0.59517,1.24915,0.87191,0.97054,0.000863116,0.000863116,0.000863116
22,14.6777,1.10866,0.90419,0.92343,0.87668,0.78743,0.85292,0.60563,1.24065,0.85436,0.9684,0.000834822,0.000834822,0.000834822
23,15.3177,1.12346,0.97865,0.89939,0.87134,0.86462,0.92436,0.60678,1.23862,0.88781,0.96162,0.000806528,0.000806528,0.000806528
24,15.9505,1.07455,0.87529,0.89971,0.90999,0.81926,0.95088,0.60804,1.23331,0.88386,0.94968,0.000778233,0.000778233,0.000778233
25,16.5744,1.15004,0.9494,0.91966,0.83105,0.92298,0.94773,0.62705,1.20511,0.86599,0.94828,0.000749939,0.000749939,0.000749939
26,17.177,1.07378,0.87864,0.92202,0.91219,0.91588,0.95961,0.63659,1.16343,0.81869,0.94451,0.000721645,0.000721645,0.000721645
27,17.803,1.08809,0.85971,0.89176,0.83789,0.82794,0.89293,0.63777,1.21327,0.82587,0.95436,0.000693351,0.000693351,0.000693351
28,18.417,1.10536,0.83691,0.90407,0.9238,0.79341,0.88582,0.63521,1.18552,0.81158,0.95395,0.000665057,0.000665057,0.000665057
29,19.014,1.04092,0.82624,0.9034,0.8204,0.84829,0.87471,0.64384,1.13052,0.78195,0.94317,0.000636762,0.000636762,0.000636762
30,19.626,1.09433,0.79665,0.89883,0.93191,0.76237,0.87364,0.6418,1.12259,0.78646,0.93809,0.000608468,0.000608468,0.000608468
31,20.272,1.06712,0.85519,0.89221,0.92803,0.76318,0.88056,0.64292,1.13019,0.77064,0.94463,0.000580174,0.000580174,0.000580174
